Model,ATT,SE,CI_low,CI_high,Pretrend_p,N_obs,N_treated,N_notyet
Low/Wages,0.0128,0.0128,-0.0122,0.0379,0.359,3906,167,112
High/Wages,-0.007,0.0074,-0.0216,0.0076,0.9155,3528,140,112
Marginal/Wages,0.0136,0.0078,-0.0017,0.0289,0.3624,3752,156,112
Low/Emp,0.0182,0.0332,-0.0469,0.0833,0.1199,3906,167,112
High/Emp,0.0065,0.0396,-0.0711,0.084,0.8093,3528,140,112
Marginal/Emp,-0.0386,0.0335,-0.1042,0.0271,0.5969,3752,156,112
Male/Low,0.0167,0.0169,-0.0163,0.0498,0.4182,3906,167,112
Female/Low,-3e-4,7e-4,-0.0017,0.001,0.9529,3905,167,112
Male/High,-0.0083,0.0092,-0.0264,0.0098,0.9183,3528,140,112
Female/High,-0.0041,0.0073,-0.0184,0.0101,0.7358,3527,140,112
White/Low,-0.0022,0.0088,-0.0196,0.0151,0.3552,3903,167,112
Nonwhite/Low,0.0128,0.0119,-0.0105,0.0362,0.4047,3906,167,112
White/High,-0.0048,0.0088,-0.0221,0.0125,0.6826,3525,140,112
Nonwhite/High,-0.007,0.0071,-0.0209,0.0069,0.9162,3528,140,112
Low/Lag3,-1e-4,0.0076,-0.0151,0.0149,0.373,3906,167,112
High/Lag3,-0.0019,0.0059,-0.0135,0.0096,0.0986,3528,140,112
Low/DR,0.0259,0.0145,-0.0025,0.0543,0.5351,3906,167,112
Low/q25_75,0.0015,0.0126,-0.0233,0.0263,0.097,3906,139,140
High/q25_75,-0.0051,0.0095,-0.0238,0.0136,0.2126,3920,140,140
Low/q33_67,0.0089,0.0124,-0.0154,0.0331,0.8597,3906,93,186
High/q33_67,-0.0078,0.0062,-0.02,0.0043,0.2341,5208,186,186
Gap/Low,-0.0054,0.012,-0.029,0.0182,0.7071,3904,167,112
Gap/High,0.0234,0.0273,-0.03,0.0769,0.539,3526,140,112
Young/Low,0.0095,0.0107,-0.0114,0.0304,0.6444,3906,167,112
Young/High,-0.0042,0.0132,-0.03,0.0216,0.1622,3528,140,112
Old/Low,0.0149,0.0125,-0.0097,0.0395,0.8708,3904,167,112
Old/High,-0.0276,0.0199,-0.0667,0.0114,0.9806,3526,140,112
CollegeGap/Low,-3e-4,0.0028,-0.0059,0.0052,0.9245,3904,167,112
CollegeGap/High,0.0024,0.0031,-0.0037,0.0085,0.1241,3526,140,112
WageGap/Male/Low,-0.0066,0.0159,-0.0378,0.0247,0.5206,3899,167,112
WageGap/Male/High,0.0315,0.0325,-0.0323,0.0953,0.6049,3521,140,112
WageGap/Female/Low,-0.003,0.0024,-0.0077,0.0017,0.595,3897,167,112
WageGap/Female/High,0.0175,0.0193,-0.0204,0.0554,0.7016,3520,140,112
WageGap/White/Low,0.0135,0.0141,-0.0142,0.0412,0.5469,3898,167,112
WageGap/White/High,-0.0252,0.0103,-0.0453,-0.0051,0.8509,3520,140,112
WageGap/Nonwhite/Low,-0.0054,0.0113,-0.0277,0.0168,0.7296,3904,167,112
WageGap/Nonwhite/High,0.0234,0.0276,-0.0306,0.0775,0.5313,3526,140,112
BC_Gap/Low,0.0116,0.0092,-0.0064,0.0297,0.522,3069,167,112
BC_Gap/High,0.0018,0.013,-0.0237,0.0272,0.823,2772,140,112
BC_Exposed/Low,0.0107,0.0111,-0.0111,0.0325,0.9674,3896,167,112
BC_Control/Low,-9e-4,0.0094,-0.0193,0.0175,0.9045,3906,167,112
TWFE/Wages,-0.0065,0.0037,-0.0139,8e-4,NA,7812,NA,NA
TWFE/Employment,-0.0467,0.018,-0.082,-0.0113,NA,7812,NA,NA
